label,centroid-0,centroid-1,area,bbox-0,bbox-1,bbox-2,bbox-3,equivalent_diameter_area,extent,solidity,axis_major_length,axis_minor_length,eccentricity,orientation,bbox_y_length,bbox_x_length
30,267.50742240215925,701.1767881241566,741.0,249,690,287,716,30.71596494738128,0.75,0.95,38.00877488730113,25.152237562510916,0.7497261818628247,0.02243746446026865,38,26
31,285.2473831123517,617.2986741102582,2866.0,253,585,319,649,60.407818494057345,0.6785037878787878,0.9206553164150337,63.513031535806725,59.85992842269297,0.33425515600461286,0.585281838732765,66,64
32,291.87224669603523,353.26872246696036,227.0,283,345,301,365,17.000746355818674,0.6305555555555555,0.9153225806451613,19.492780674558336,16.02443071437646,0.5693863999822822,-1.4528627557977543,18,20
33,292.0,469.6835443037975,79.0,286,466,298,474,10.02925341359355,0.8229166666666666,0.9753086419753086,12.113602905686431,8.402084633087208,0.7203532277387847,0.10993703627963547,12,8
34,294.89163346613543,541.8310756972112,1255.0,267,526,318,562,39.97393686694656,0.6835511982570807,0.9500378501135504,51.70735583312424,32.30077325538629,0.7808774093468279,0.4045693461480608,51,36
35,301.1782945736434,742.9612403100775,129.0,295,738,309,749,12.815923738491737,0.8376623376623377,0.9555555555555556,14.692073026393452,11.288236504372009,0.6400640409825682,-0.3947440915145128,14,11
36,304.8514285714286,775.4332467532467,1925.0,271,749,350,798,49.507435033691536,0.4972875226039783,0.7774636510500808,69.88362039475854,41.49412803690883,0.8046418828024087,0.3021159822478264,79,49
37,318.27029804727647,518.0914696813977,973.0,296,499,343,533,35.197472594311556,0.6088861076345432,0.916195856873823,46.59764593987479,28.50668269221519,0.7910416536556208,0.4823813891339294,47,34
38,318.1069182389937,808.0062893081761,159.0,311,801,325,815,14.228319915326999,0.8112244897959183,0.9520958083832335,14.842185048359717,14.22563788524842,0.2852276100577714,-1.1175953592985437,14,14
39,330.7433155080214,807.5882352941177,187.0,324,801,339,815,15.430353037616328,0.8904761904761904,0.9689119170984456,16.722261163118034,14.5866415244978,0.4889910096669027,0.6872707412489154,15,14
40,338.1046511627907,750.1447028423772,774.0,323,735,354,768,31.39247374172695,0.7565982404692082,0.9711417816813049,35.0552373485065,28.623456334395794,0.5773109375144714,-1.105497029575794,31,33
41,355.5511982570806,825.1503267973857,459.0,341,814,368,836,24.17471718621419,0.7727272727272727,0.9522821576763485,28.540245032481245,21.643897762942146,0.6518311621311733,0.05287319676220594,27,22
42,379.1776447105788,823.8063872255489,501.0,367,813,396,836,25.25654394235911,0.7511244377811095,0.9452830188679245,30.05871670970102,22.274453710509814,0.6714703459671608,0.03595398411227812,29,23
