label,centroid-0,centroid-1,centroid-2,volume_voxels,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,equivalent_diameter,extent,solidity,bbox_z_length,bbox_y_length,bbox_x_length,shape_major_axis,shape_intermediate_axis,shape_minor_axis
12,35.43219178082192,138.99623287671233,269.95376712328766,2920.0,24,130,262,50,146,281,17.733511587346314,0.3694331983805668,0.7411167512690355,26,16,19,23.787126559593247,23.286868465537363,15.000654938547068
13,33.94232749742533,211.75042911088227,256.59732234809474,2913.0,24,203,249,44,222,265,17.719329634408986,0.47911184210526314,0.9180586196028995,20,19,16,19.715988991356973,17.944228313172495,16.702565936895788
14,38.7839762611276,135.71335311572702,275.46290801186944,1685.0,24,130,270,51,146,282,14.763877314926978,0.32503858024691357,0.7256675279931094,27,16,12,21.536298284767607,20.108287060383457,12.694427494144877
15,37.43572621035059,295.74624373956595,342.5943238731219,599.0,31,291,339,45,303,348,10.45866052790687,0.39616402116402116,0.8262068965517242,14,12,9,12.923527503901445,12.134372752990851,9.311922240073585
16,40.14151925078044,318.56607700312173,327.86576482830384,961.0,34,313,322,47,325,335,12.243575259331783,0.47386587771203154,0.9057492931196984,13,12,13,13.916899397240647,13.28010569527391,10.9259230037825
17,43.33407254870901,209.22128940281956,229.60319974655474,6313.0,30,199,220,59,220,239,22.930440039611504,0.5455881082015384,0.934705359786793,29,21,19,26.32913898988194,25.38457752160688,20.127564750450546
18,42.731695085255765,180.8716148445336,229.81569709127382,3988.0,32,170,222,54,193,239,19.675185808626008,0.4636131132294815,0.91804788213628,22,23,17,23.36134433251067,20.960656324536707,17.824154199501354
19,44.861200428724544,317.3788853161843,302.12325830653805,1866.0,37,308,295,53,327,310,15.27464078516983,0.40921052631578947,0.9124694376528117,16,19,15,19.054366421385676,17.44792410299211,13.142870185606586
20,48.042755344418055,299.03444180522564,341.97387173396675,842.0,40,294,336,59,305,348,11.715778611574557,0.335725677830941,0.7854477611940298,19,11,12,15.721180054774917,14.984273785500033,9.61737383099044
21,47.32116788321168,138.50091240875912,257.7463503649635,1096.0,41,133,250,58,146,265,12.791966418023701,0.3306184012066365,0.8058823529411765,17,13,15,14.78409851737136,13.32276353737513,12.324711590458136
22,46.20253164556962,273.39240506329116,249.69620253164558,316.0,43,269,246,50,279,255,8.450767500070894,0.5015873015873016,0.9294117647058824,7,10,9,10.149248382679895,9.26064287537489,7.4149206083996155
23,48.36752136752137,229.26630679262257,225.19208277103013,2223.0,39,222,216,57,237,234,16.19248910308832,0.45740740740740743,0.9163231657048639,18,15,18,18.061589671612772,17.432098593766796,14.64055737002196
24,49.24243951612903,258.3865927419355,232.10584677419354,1984.0,40,250,227,58,268,238,15.590056238503022,0.5566778900112234,0.9105094079853143,18,18,11,18.47891704793246,15.955124352108982,14.644247190222154
25,55.84107241569928,149.85019347705915,233.90270867882808,3618.0,42,143,225,72,159,244,19.046856657672,0.39671052631578946,0.8753931768691023,30,16,19,25.71719961191176,23.757338227312427,15.855480266541313
26,55.16263310745402,126.25363020329138,298.5827686350436,1033.0,47,122,293,65,131,305,12.542012609464765,0.5313786008230452,0.8967013888888888,18,9,12,15.604502556268423,14.336309624562908,10.71227699549864
27,57.23701298701299,268.5525974025974,218.46948051948053,1540.0,48,259,210,71,276,225,14.327619283883186,0.2625745950554135,0.6707317073170732,23,17,15,17.95875673580121,17.527144216661693,13.097303384205583
28,60.512269938650306,346.35460122699385,310.49386503067484,1630.0,51,341,303,71,352,318,14.601461489522219,0.49393939393939396,0.9070673344462994,20,11,15,18.24264523641466,16.006299738306407,13.16836757065998
29,64.23961589995534,137.2199642697633,248.7820455560518,4478.0,49,129,240,83,145,262,20.45008679728432,0.3741644385026738,0.7764869082711982,34,16,22,27.341753874964215,26.822819401068983,16.50616498042686
30,60.27513966480447,141.16061452513966,317.0209497206704,716.0,53,137,313,69,147,322,11.09953538364648,0.49722222222222223,0.8983688833124216,16,10,9,13.493974951071456,13.106279162543496,9.175136532139529
31,59.50963808025177,175.89358772619985,204.63158929976396,5084.0,46,167,193,75,187,216,21.333837030752036,0.3811094452773613,0.8938115330520394,29,20,23,26.444083366815924,25.53491488926475,17.791189793981655
32,60.326478149100254,332.46786632390746,336.32390745501283,389.0,55,328,333,66,338,341,9.056985233535592,0.4420454545454545,0.8881278538812786,11,10,8,11.086792144674536,9.313243256763899,8.585913816387595
33,61.08763206960845,211.28402734617774,196.2908638906153,1609.0,52,204,190,69,225,203,14.538484594428544,0.3466925231631114,0.7353747714808044,17,21,13,18.15496958171292,16.751280685242783,13.597453114525516
34,60.18340611353712,218.47889374090246,197.91120815138282,687.0,52,215,191,69,225,203,10.947611360436708,0.33676470588235297,0.7745208568207441,17,10,12,13.581842339182588,13.346374033540098,9.610884230461284
35,59.480722891566266,288.2259036144578,331.9180722891566,1660.0,49,275,325,73,301,342,14.690496991535243,0.15648567119155354,0.6365030674846626,24,26,17,22.107016333636558,20.04386495400944,13.290073091444919
36,62.213809812235006,264.59842519685037,214.26226529376135,1651.0,49,258,209,71,275,224,14.663899775258464,0.29429590017825313,0.676085176085176,22,17,15,18.945579297397845,18.066408551755234,13.680494057643791
37,68.07632232871849,222.31309904153355,185.8746893858715,2817.0,58,211,178,79,232,195,17.52250025161141,0.375750300120048,0.8740304064536146,21,21,17,20.181568755682076,17.63638986966148,16.808829330602112
38,69.04321329639889,280.8182825484765,327.9639889196676,1805.0,61,265,323,79,294,335,15.106349488764122,0.28815453384418904,0.6444127097465191,18,29,12,25.300040759366517,23.28185942478297,13.70759839240663
39,70.24813606710158,351.3205964585275,290.42218080149115,4292.0,57,343,281,85,360,300,20.162932535799822,0.4745687748783724,0.9192546583850931,28,17,19,25.099133966239897,23.128062785858745,17.2982556058483
40,70.5409090909091,133.21818181818182,294.9818181818182,220.0,67,130,292,75,138,299,7.489877008078426,0.49107142857142855,0.9053497942386831,8,8,7,8.949414621502013,8.463412469716621,6.389986939346212
41,71.34542949012402,306.74873679375287,232.13229214515388,2177.0,61,300,225,82,314,240,16.080020654026836,0.4936507936507937,0.915475189234651,21,14,15,18.69470351463392,17.665693846943437,14.063294563875756
42,76.2985347985348,346.83150183150184,319.52564102564105,546.0,69,343,315,83,352,325,10.140623847654274,0.43333333333333335,0.8625592417061612,14,9,10,12.181158581893328,11.154257323672145,8.947527980479617
43,75.78778677462888,335.90620782726046,261.61572199730097,2964.0,65,327,254,86,345,271,17.822140332305544,0.4612511671335201,0.9239401496259352,21,18,17,20.888375171297394,18.057634253386556,16.906649999063085
44,74.98196625945317,275.89296102385106,312.8283885980221,1719.0,69,266,306,80,285,321,14.862518839275044,0.5483253588516747,0.9061676331049024,11,19,15,17.321317353672285,16.263789570963368,13.58874185867612
45,79.8724523339908,215.19855358316897,170.87442472057856,1521.0,70,208,165,89,225,180,14.268452175056858,0.3139318885448916,0.844062153163152,19,17,15,18.72062393933221,17.649830993005224,11.99323630108344
46,81.67465871285992,189.3290122748652,174.1063439256625,8717.0,67,175,155,96,203,190,25.534232464260302,0.30672061928219563,0.8120924166200857,29,28,35,32.870052835513576,27.838938143492022,25.16143287156851
47,82.48225737494656,159.7084224027362,207.62419837537408,2339.0,72,150,198,95,167,217,16.469378090236084,0.314847220352672,0.8144150417827298,23,17,19,19.91449338707328,18.509565667669353,14.511404817642568
48,87.50856389986825,275.12285902503294,312.8633069828722,3036.0,80,266,307,101,285,320,17.9652961865923,0.5853094274146906,0.9330055316533498,21,19,13,21.233366680704595,18.818391919585192,17.06090097771884
49,85.91426071741033,144.4222805482648,259.8043161271508,3429.0,73,137,249,99,153,270,18.709246095636985,0.39251373626373626,0.876309736774853,26,16,21,22.890621142954238,21.140518743842012,16.162247287008125
