label,centroid-0,centroid-1,centroid-2,volume_voxels,bbox-0,bbox-1,bbox-2,bbox-3,bbox-4,bbox-5,equivalent_diameter,extent,solidity,bbox_z_length,bbox_y_length,bbox_x_length,shape_major_axis,shape_intermediate_axis,shape_minor_axis
71,98.09785932721712,151.23058103975535,212.82385321100918,1635.0,87,144,204,106,160,223,14.616376169441267,0.28306786703601106,0.752416014726185,19,16,19,16.903955950728964,15.451143176170827,14.096789182749252
72,96.91797235023041,209.47926267281105,147.5032258064516,1085.0,90,199,141,105,218,155,12.749026933928171,0.2719298245614035,0.8288770053475936,15,19,14,17.879972603860637,17.349769042203565,9.943914380340301
73,103.52119700748129,159.64488778054863,237.5147132169576,2005.0,97,152,227,116,167,246,15.644868539563962,0.3702677746999077,0.7431430689399555,19,15,19,18.34578110390573,17.67260649463236,15.401924467058942
74,101.81692913385827,205.45866141732284,132.40551181102362,1524.0,95,198,123,111,213,140,14.277826982073982,0.3735294117647059,0.8029504741833509,16,15,17,17.27255456478396,15.34037107611722,13.551787226231315
75,112.54067474806484,234.49569154374177,148.8225500219074,6847.0,99,225,139,136,244,161,23.559563249942777,0.44271304797620586,0.807143699163032,37,19,22,32.62023929132818,32.074648959302365,19.216260203799727
76,103.63096623981373,345.3589445091191,236.60031043849438,2577.0,90,340,230,119,352,245,17.010037279200557,0.49367816091954025,0.91318214032601,29,12,15,23.45702192291335,22.91344095280101,13.06928977218583
77,105.4272997032641,148.8100890207715,212.8041543026706,337.0,103,144,207,108,156,220,8.633967830729006,0.43205128205128207,0.7185501066098081,5,12,13,13.213228403049229,10.483432333869615,9.094631397028206
78,107.48133198789102,194.0467541204171,115.61738984191052,5946.0,93,183,102,124,206,131,22.477194010677895,0.2875658944721188,0.8385277111831899,31,23,29,28.275427094659644,24.279778613814734,20.998781384070536
79,105.75608407079646,260.0271017699115,165.18584070796462,1808.0,95,254,159,117,267,172,15.114714025073976,0.48628294782140935,0.9131313131313131,22,13,13,19.21779992858393,16.912722488118042,13.384938850984659
80,108.99866399465598,135.1810287241149,110.01536406145624,1497.0,102,126,102,117,145,118,14.19300620634914,0.3282894736842105,0.8739054290718039,15,19,16,18.174282594035965,16.710751831245027,12.135664407642242
81,112.82585278276481,148.04308797127467,213.93447037701975,1114.0,107,143,207,123,154,220,12.86161552081395,0.4868881118881119,0.9005658852061439,16,11,13,14.988207200215703,14.519080172714562,11.532326041106325
82,112.93417310036571,99.43071921982934,185.34741974806988,2461.0,103,88,177,122,111,195,16.750881402363042,0.3128654970760234,0.8146309169149288,19,23,18,21.56795718733913,20.314206242078306,14.594075724650734
83,113.35374149659864,124.49319727891157,203.19387755102042,294.0,109,121,199,119,129,208,8.24991681203272,0.4083333333333333,0.8882175226586103,10,8,9,9.92115097506388,9.540464694670323,6.958260497777837
84,114.87837837837837,159.87653562653563,98.79545454545455,1628.0,106,152,94,124,170,104,14.595487077443849,0.5024691358024691,0.893523600439078,18,18,10,17.67934720933782,14.589668667967137,14.174233521006496
